trial,observer,date,time,location,treatment,conspecificsIn1m,tailPresent,tailColor,initialPosition,sizecm,percentFoliage,windBeaufort,preHopN,preLookN,preOutOfSightN,preRunN,preWalkN,preOutOfSightTT,preHopRate,preLookRate,preRunRate,preWalkRate,preLocomotionRate,post15HopN,post15LookN,post15OutOfSightN,post15RunN,post15WalkN,post15OutOfSightTT,post15HopRate,post15LookRate,post15RunRate,post15WalkRate,post15LocomotionRate,lookRateDiff,locomotionRateDiff,SD,AD,FID,comments
86,MW,01_30_20,824, Juice Factory,white,0,Y,3,litter,2,0.4,0,2,15,0,0,6,0,0.066666667,0.5,0,0.2,0.266666667,0,5,0,0,2,0,0,0.333333333,0,0.133333333,0.133333333,-0.166666667,-0.133333333,330,NA,131,
87,MW,01_30_20,857, Juice Factory,silent,0,Y,2,litter,3,0.5,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.066666667,0,398,NA,256,
88,MW,01_30_20,920, Juice Factory,white,0,Y,2,litter,1.5,0.7,0,0,3,1,0,2,6957,0,0.130191381,0,0.086794254,0.086794254,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.063524715,-0.086794254,330,NA,175,
89,MW,01_30_20,944, Juice Factory,silent,0,Y,2,litter,2.5,0.4,0,0,5,0,0,3,0,0,0.166666667,0,0.1,0.1,0,1,0,0,1,0,0,0.066666667,0,0.066666667,0.066666667,-0.1,-0.033333333,317,NA,159,
90,ST,01_18_20,1450, Gump,white,0,Y,1,rock,3,NA,0,1,11,0,0,5,0,0.033333333,0.366666667,0,0.166666667,0.2,0,4,1,2,3,1192,0,0.289687138,0.144843569,0.217265353,0.362108922,-0.076979529,0.162108922,403,NA,204,Not sure if within 50 m of earlier practice run but Dan said it was fine. Might ask again
91,ST,01_20_20,839, Pineapple Plantation,white,0,Y,3,branch,4,0.6,0,0,3,0,0,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.033333333,0,397,NA,97,
94,ST,01_20_20,1022, Pineapple Plantation,silent,0,Y,1,ground,2.5,0,0,0,14,0,0,4,0,0,0.466666667,0,0.133333333,0.133333333,0,7,0,0,2,0,0,0.466666667,0,0.133333333,0.133333333,0,0,407,NA,196,
97,ST,01_20_20,1452, Road,white,2,Y,2,litter,2.5,1,0,0,9,0,0,1,0,0,0.3,0,0.033333333,0.033333333,0,4,0,0,0,0,0,0.266666667,0,0,0,-0.033333333,-0.033333333,481,NA,158,
98,ST,01_22_20,915, Road,silent,0,Y,1,litter,3.7,0.75,0,0,1,0,0,1,0,0,0.033333333,0,0.033333333,0.033333333,0,8,0,0,5,0,0,0.533333333,0,0.333333333,0.333333333,0.5,0.3,377,242,229,
99,ST,01_22_20,938, Road,silent,0,Y,1,branch,3,0.95,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.1,0,296,147,147,
100,ST,01_22_20,957, Road,white,0,Y,2,branch,2,60,0,0,11,3,0,11,6478,0,0.467647309,0,0.467647309,0.467647309,0,2,2,0,4,5902,0,0.219828534,0,0.439657067,0.439657067,-0.247818775,-0.027990241,494,NA,194,
101,ST,01_22_20,1046, Road,silent,0,Y,2,leaf,1.8,0.6,1,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,235,NA,120,near loud creek
102,ST,01_22_20,1102, Road,silent,0,Y,1,litter,1.9,1,0,0,4,0,0,2,0,0,0.133333333,0,0.066666667,0.066666667,0,3,0,0,1,0,0,0.2,0,0.066666667,0.066666667,0.066666667,0,305,NA,192,
104,ST,01_22_20,1406, Road,silent,0,Y,1.5,litter,1.75,1,1,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,386,NA,348,my MP3 died l o l
105,ST,01_22_20,1414, Road,silent,1,Y,2,litter,2.8,1,0,0,4,0,0,1,0,0,0.133333333,0,0.033333333,0.033333333,0,2,0,0,0,0,0,0.133333333,0,0,0,0,-0.033333333,205,NA,64,
108,ST,01_24_20,944, Gump,silent,0,Y,2,rock,2.2,1,0,0,9,1,0,4,807,0,0.308293084,0,0.137019148,0.137019148,0,2,0,0,0,0,0,0.133333333,0,0,0,-0.174959751,-0.137019148,298,252,216,
109,ST,01_24_20,1019, Gump,white,0,Y,2,coconut_shell,2,1,0,0,4,0,0,0,0,0,0.133333333,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0,0,320,NA,177,
